,condName,__name__,MooringFile,SeaStFile|WaveHs,SeaStFile|WaveTp,SeaStFile|WaveDir,SeaStFile|WaveSeed(1),InflowFile|PropagationDir,InflowFile|FileName_BTS,InflowFile|RotorApexOffsetPos,EDFile|NacYaw,EDFile|RotSpeed,EDFile|PtfmSurge,EDFile|BlPitch(1),EDFile|BlPitch(2),EDFile|BlPitch(3),ServoFile|PCMode,HydroFile|DiffQTF,windSpeed,windShear
0,1,Run_P200_C142_L1430_clump40_1_S1,"""Moordyn_P200_C142_L1430_clump40_1.dat""",1.93014,7.44086,-24.359,610270054,44.39,"""W:\TurbSim\workspace\15MW_fat_turbsimFiles\turbsim_increasedTI_redVel\wind_1_seed1.bts""",0 0 0,-44.39,,,,,,,0.0,9.95740910330378,0.14
1,2,Run_P200_C142_L1430_clump40_2_S1,"""Moordyn_P200_C142_L1430_clump40_2.dat""",2.86339,8.92557,-23.178,-474889160,45.816,"""W:\TurbSim\workspace\15MW_fat_turbsimFiles\turbsim_increasedTI_redVel\wind_2_seed1.bts""",0 0 0,-45.816,,,,,,,0.0,12.75420807197407,0.14
2,3,Run_P200_C142_L1430_clump40_3_S1,"""Moordyn_P200_C142_L1430_clump40_3.dat""",1.48861,7.81407,-2.166,1964480381,44.287,"""W:\TurbSim\workspace\15MW_fat_turbsimFiles\turbsim_increasedTI_redVel\wind_3_seed1.bts""",0 0 0,-44.287,,,,,,,0.0,8.261826604267672,0.14
3,4,Run_P200_C142_L1430_clump40_4_S1,"""Moordyn_P200_C142_L1430_clump40_4.dat""",2.44239,11.2402,14.818,-1404567831,42.366,"""W:\TurbSim\workspace\15MW_fat_turbsimFiles\turbsim_increasedTI_redVel\wind_4_seed1.bts""",0 0 0,-42.366,,,,,,,0.0,11.71264148879738,0.14
4,5,Run_P200_C142_L1430_clump40_5_S1,"""Moordyn_P200_C142_L1430_clump40_5.dat""",2.00784,13.0567,22.967,-819066991,51.13,"""W:\TurbSim\workspace\15MW_fat_turbsimFiles\turbsim_increasedTI_redVel\wind_5_seed1.bts""",0 0 0,-51.13,,,,,,,0.0,5.835128778446234,0.14
5,6,Run_P200_C142_L1430_clump40_6_S1,"""Moordyn_P200_C142_L1430_clump40_6.dat""",2.46889,11.5244,-9.19,-478704550,46.901,"""W:\TurbSim\workspace\15MW_fat_turbsimFiles\turbsim_increasedTI_redVel\wind_6_seed1.bts""",0 0 0,-46.901,,,,,,,0.0,6.837154812397419,0.14
6,7,Run_P200_C142_L1430_clump40_7_S1,"""Moordyn_P200_C142_L1430_clump40_7.dat""",1.44362,8.43307,-14.634,760758136,41.408,"""W:\TurbSim\workspace\15MW_fat_turbsimFiles\turbsim_increasedTI_redVel\wind_7_seed1.bts""",0 0 0,-41.408,,,,,,,0.0,3.958642182555308,0.14
7,8,Run_P200_C142_L1430_clump40_8_S1,"""Moordyn_P200_C142_L1430_clump40_8.dat""",1.72633,11.2183,18.356,1192393582,30.028,"""W:\TurbSim\workspace\15MW_fat_turbsimFiles\turbsim_increasedTI_redVel\wind_8_seed1.bts""",0 0 0,-30.028,,,,,,,0.0,3.842317949946895,0.14
8,9,Run_P200_C142_L1430_clump40_9_S1,"""Moordyn_P200_C142_L1430_clump40_9.dat""",1.28708,9.4058,25.976,1060830877,46.371,"""W:\TurbSim\workspace\15MW_fat_turbsimFiles\turbsim_increasedTI_redVel\wind_9_seed1.bts""",0 0 0,-46.371,,,,,,,0.0,6.529929461455389,0.14
9,10,Run_P200_C142_L1430_clump40_10_S1,"""Moordyn_P200_C142_L1430_clump40_10.dat""",3.52561,8.93552,-21.98,-308856159,41.312,"""W:\TurbSim\workspace\15MW_fat_turbsimFiles\turbsim_increasedTI_redVel\wind_10_seed1.bts""",0 0 0,-41.312,,,,,,,0.0,19.14416600993886,0.14
10,11,Run_P200_C142_L1430_clump40_11_S1,"""Moordyn_P200_C142_L1430_clump40_11.dat""",1.53413,10.4771,11.535,-506101615,64.9163,"""W:\TurbSim\workspace\15MW_fat_turbsimFiles\turbsim_increasedTI_redVel\wind_11_seed1.bts""",0 0 0,-64.9163,,,,,,,0.0,3.567299647026803,0.14
11,12,Run_P200_C142_L1430_clump40_12_S1,"""Moordyn_P200_C142_L1430_clump40_12.dat""",3.82171,14.1382,16.151,-2060285985,47.621,"""W:\TurbSim\workspace\15MW_fat_turbsimFiles\turbsim_increasedTI_redVel\wind_12_seed1.bts""",0 0 0,-47.621,,,,,,,0.0,5.91894280495266,0.14
12,13,Run_P200_C142_L1430_clump40_13_S1,"""Moordyn_P200_C142_L1430_clump40_13.dat""",1.82274,7.89602,-42.844,-1827883134,47.124,"""W:\TurbSim\workspace\15MW_fat_turbsimFiles\turbsim_increasedTI_redVel\wind_13_seed1.bts""",0 0 0,-47.124,,,,,,,0.0,6.652661817411709,0.14
13,14,Run_P200_C142_L1430_clump40_14_S1,"""Moordyn_P200_C142_L1430_clump40_14.dat""",1.51646,8.71742,-13.684,730536848,-94.877,"""W:\TurbSim\workspace\15MW_fat_turbsimFiles\turbsim_increasedTI_redVel\wind_14_seed1.bts""",0 0 0,94.877,,,,,,,0.0,3.313781901247378,0.14
14,15,Run_P200_C142_L1430_clump40_15_S1,"""Moordyn_P200_C142_L1430_clump40_15.dat""",1.82591,11.3741,9.64,-1000001225,-131.892,"""W:\TurbSim\workspace\15MW_fat_turbsimFiles\turbsim_increasedTI_redVel\wind_15_seed1.bts""",0 0 0,131.892,,,,,,,0.0,3.211466956720348,0.14
15,16,Run_P200_C142_L1430_clump40_16_S1,"""Moordyn_P200_C142_L1430_clump40_16.dat""",3.91648,12.6226,-19.281,496826205,43.785,"""W:\TurbSim\workspace\15MW_fat_turbsimFiles\turbsim_increasedTI_redVel\wind_16_seed1.bts""",0 0 0,-43.785,,,,,,,0.0,13.2056577130996,0.14
16,17,Run_P200_C142_L1430_clump40_17_S1,"""Moordyn_P200_C142_L1430_clump40_17.dat""",1.95616,12.138,24.34,1966625651,-3.249,"""W:\TurbSim\workspace\15MW_fat_turbsimFiles\turbsim_increasedTI_redVel\wind_17_seed1.bts""",0 0 0,3.249,0.0,0.0,90.0,90.0,90.0,0.0,0.0,2.747711504311134,0.14
17,18,Run_P200_C142_L1430_clump40_18_S1,"""Moordyn_P200_C142_L1430_clump40_18.dat""",1.47254,9.90444,28.209,-643321077,-98.675,"""W:\TurbSim\workspace\15MW_fat_turbsimFiles\turbsim_increasedTI_redVel\wind_18_seed1.bts""",0 0 0,98.675,,,,,,,0.0,4.244730212994685,0.14
18,19,Run_P200_C142_L1430_clump40_19_S1,"""Moordyn_P200_C142_L1430_clump40_19.dat""",2.10944,11.3945,23.297,-951768423,-131.554,"""W:\TurbSim\workspace\15MW_fat_turbsimFiles\turbsim_increasedTI_redVel\wind_19_seed1.bts""",0 0 0,131.554,,,,,,,0.0,14.83720786100482,0.14
19,20,Run_P200_C142_L1430_clump40_20_S1,"""Moordyn_P200_C142_L1430_clump40_20.dat""",2.19873,12.2841,32.614,-334287551,-116.363,"""W:\TurbSim\workspace\15MW_fat_turbsimFiles\turbsim_increasedTI_redVel\wind_20_seed1.bts""",0 0 0,116.363,,,,,,,0.0,8.20505427597826,0.14
20,21,Run_P200_C142_L1430_clump40_21_S1,"""Moordyn_P200_C142_L1430_clump40_21.dat""",2.03333,11.791,18.143,-485227367,-73.388,"""W:\TurbSim\workspace\15MW_fat_turbsimFiles\turbsim_increasedTI_redVel\wind_21_seed1.bts""",0 0 0,73.388,0.0,0.0,90.0,90.0,90.0,0.0,0.0,2.85417105768564,0.14
21,22,Run_P200_C142_L1430_clump40_22_S1,"""Moordyn_P200_C142_L1430_clump40_22.dat""",2.51442,13.4016,23.335,184474907,83.9086,"""W:\TurbSim\workspace\15MW_fat_turbsimFiles\turbsim_increasedTI_redVel\wind_22_seed1.bts""",0 0 0,-83.9086,0.0,0.0,90.0,90.0,90.0,0.0,0.0,2.651834637215345,0.14
22,23,Run_P200_C142_L1430_clump40_23_S1,"""Moordyn_P200_C142_L1430_clump40_23.dat""",3.78376,13.6461,15.489,585484906,41.964,"""W:\TurbSim\workspace\15MW_fat_turbsimFiles\turbsim_increasedTI_redVel\wind_23_seed1.bts""",0 0 0,-41.964,,,,,,,0.0,16.17074631956115,0.14
23,24,Run_P200_C142_L1430_clump40_24_S1,"""Moordyn_P200_C142_L1430_clump40_24.dat""",1.55293,8.99951,-7.227,741770758,-12.734,"""W:\TurbSim\workspace\15MW_fat_turbsimFiles\turbsim_increasedTI_redVel\wind_24_seed1.bts""",0 0 0,12.734,0.0,0.0,90.0,90.0,90.0,0.0,0.0,2.40880191630866,0.14
24,25,Run_P200_C142_L1430_clump40_25_S1,"""Moordyn_P200_C142_L1430_clump40_25.dat""",1.66771,8.60238,-17.894,-378779768,-125.891,"""W:\TurbSim\workspace\15MW_fat_turbsimFiles\turbsim_increasedTI_redVel\wind_25_seed1.bts""",0 0 0,125.891,,,,,,,0.0,7.264419160783162,0.14
25,26,Run_P200_C142_L1430_clump40_26_S1,"""Moordyn_P200_C142_L1430_clump40_26.dat""",2.26585,16.6543,20.376,-265164161,63.7428,"""W:\TurbSim\workspace\15MW_fat_turbsimFiles\turbsim_increasedTI_redVel\wind_26_seed1.bts""",0 0 0,-63.7428,,,,,,,0.0,4.564848591604672,0.14
26,27,Run_P200_C142_L1430_clump40_27_S1,"""Moordyn_P200_C142_L1430_clump40_27.dat""",1.87114,16.3539,20.658,-604846871,35.566,"""W:\TurbSim\workspace\15MW_fat_turbsimFiles\turbsim_increasedTI_redVel\wind_27_seed1.bts""",0 0 0,-35.566,,,,,,,0.0,4.884958946109934,0.14
27,28,Run_P200_C142_L1430_clump40_28_S1,"""Moordyn_P200_C142_L1430_clump40_28.dat""",1.9131,14.1736,24.585,-2098865364,-109.099,"""W:\TurbSim\workspace\15MW_fat_turbsimFiles\turbsim_increasedTI_redVel\wind_28_seed1.bts""",0 0 0,109.099,,,,,,,0.0,3.659134472336597,0.14
28,29,Run_P200_C142_L1430_clump40_29_S1,"""Moordyn_P200_C142_L1430_clump40_29.dat""",1.0911,15.1692,64.503,-466114414,45.604,"""W:\TurbSim\workspace\15MW_fat_turbsimFiles\turbsim_increasedTI_redVel\wind_29_seed1.bts""",0 0 0,-45.604,,,,,,,0.0,5.769498482904361,0.14
29,30,Run_P200_C142_L1430_clump40_30_S1,"""Moordyn_P200_C142_L1430_clump40_30.dat""",3.1482,11.7696,1.196,-1454646955,4.285,"""W:\TurbSim\workspace\15MW_fat_turbsimFiles\turbsim_increasedTI_redVel\wind_30_seed1.bts""",0 0 0,-4.285,,,,,,,0.0,7.28071318197204,0.14
30,31,Run_P200_C142_L1430_clump40_31_S1,"""Moordyn_P200_C142_L1430_clump40_31.dat""",2.39867,14.5969,17.216,-1934200074,-127.902,"""W:\TurbSim\workspace\15MW_fat_turbsimFiles\turbsim_increasedTI_redVel\wind_31_seed1.bts""",0 0 0,127.902,,,,,,,0.0,11.60542410371984,0.14
31,32,Run_P200_C142_L1430_clump40_32_S1,"""Moordyn_P200_C142_L1430_clump40_32.dat""",1.38544,8.84339,14.897,885466483,-126.686,"""W:\TurbSim\workspace\15MW_fat_turbsimFiles\turbsim_increasedTI_redVel\wind_32_seed1.bts""",0 0 0,126.686,,,,,,,0.0,7.433507108735006,0.14
