,condName,__name__,MooringFile,HydroFile|WaveHs,HydroFile|WaveTp,HydroFile|WaveDir,HydroFile|WaveSeed(1),InflowFile|PropagationDir,InflowFile|FileName_BTS,EDFile|NacYaw,EDFile|RotSpeed,EDFile|PtfmSurge,EDFile|BlPitch(1),EDFile|BlPitch(2),EDFile|BlPitch(3),ServoFile|PCMode,HydroFile|DiffQTF,windSpeed,windShear
0,1,Run_P200_C135_L1430_clump40_1_S1,"""Moordyn_P200_C135_L1430_clump40_1.dat""",1.93014,7.44086,-74.359,-559891496,94.39,"""W:\TurbSim\workspace\15MW\task49_fatigue_deficit9.6D_largeGrid\wind_1_seed1.bts""",-94.39,,,,,,,0.0,9.91944,0.14
1,1,Run_P200_C135_L1430_clump40_1_S2,"""Moordyn_P200_C135_L1430_clump40_1.dat""",1.93014,7.44086,-74.359,1289913002,94.39,"""W:\TurbSim\workspace\15MW\task49_fatigue_deficit9.6D_largeGrid\wind_1_seed2.bts""",-94.39,,,,,,,0.0,9.91944,0.14
2,1,Run_P200_C135_L1430_clump40_1_S3,"""Moordyn_P200_C135_L1430_clump40_1.dat""",1.93014,7.44086,-74.359,1018295298,94.39,"""W:\TurbSim\workspace\15MW\task49_fatigue_deficit9.6D_largeGrid\wind_1_seed3.bts""",-94.39,,,,,,,0.0,9.91944,0.14
3,1,Run_P200_C135_L1430_clump40_1_S4,"""Moordyn_P200_C135_L1430_clump40_1.dat""",1.93014,7.44086,-74.359,-1036489701,94.39,"""W:\TurbSim\workspace\15MW\task49_fatigue_deficit9.6D_largeGrid\wind_1_seed4.bts""",-94.39,,,,,,,0.0,9.91944,0.14
4,1,Run_P200_C135_L1430_clump40_1_S5,"""Moordyn_P200_C135_L1430_clump40_1.dat""",1.93014,7.44086,-74.359,-1512155907,94.39,"""W:\TurbSim\workspace\15MW\task49_fatigue_deficit9.6D_largeGrid\wind_1_seed5.bts""",-94.39,,,,,,,0.0,9.91944,0.14
5,1,Run_P200_C135_L1430_clump40_1_S6,"""Moordyn_P200_C135_L1430_clump40_1.dat""",1.93014,7.44086,-74.359,-941611827,94.39,"""W:\TurbSim\workspace\15MW\task49_fatigue_deficit9.6D_largeGrid\wind_1_seed6.bts""",-94.39,,,,,,,0.0,9.91944,0.14
6,2,Run_P200_C135_L1430_clump40_2_S1,"""Moordyn_P200_C135_L1430_clump40_2.dat""",2.86339,8.92557,-73.178,803765039,95.816,"""W:\TurbSim\workspace\15MW\task49_fatigue_deficit9.6D_largeGrid\wind_2_seed1.bts""",-95.816,,,,,,,0.0,12.73479,0.14
7,2,Run_P200_C135_L1430_clump40_2_S2,"""Moordyn_P200_C135_L1430_clump40_2.dat""",2.86339,8.92557,-73.178,1956113804,95.816,"""W:\TurbSim\workspace\15MW\task49_fatigue_deficit9.6D_largeGrid\wind_2_seed2.bts""",-95.816,,,,,,,0.0,12.73479,0.14
8,2,Run_P200_C135_L1430_clump40_2_S3,"""Moordyn_P200_C135_L1430_clump40_2.dat""",2.86339,8.92557,-73.178,1325417495,95.816,"""W:\TurbSim\workspace\15MW\task49_fatigue_deficit9.6D_largeGrid\wind_2_seed3.bts""",-95.816,,,,,,,0.0,12.73479,0.14
9,2,Run_P200_C135_L1430_clump40_2_S4,"""Moordyn_P200_C135_L1430_clump40_2.dat""",2.86339,8.92557,-73.178,-2035397525,95.816,"""W:\TurbSim\workspace\15MW\task49_fatigue_deficit9.6D_largeGrid\wind_2_seed4.bts""",-95.816,,,,,,,0.0,12.73479,0.14
10,2,Run_P200_C135_L1430_clump40_2_S5,"""Moordyn_P200_C135_L1430_clump40_2.dat""",2.86339,8.92557,-73.178,1322217251,95.816,"""W:\TurbSim\workspace\15MW\task49_fatigue_deficit9.6D_largeGrid\wind_2_seed5.bts""",-95.816,,,,,,,0.0,12.73479,0.14
11,2,Run_P200_C135_L1430_clump40_2_S6,"""Moordyn_P200_C135_L1430_clump40_2.dat""",2.86339,8.92557,-73.178,-1699874171,95.816,"""W:\TurbSim\workspace\15MW\task49_fatigue_deficit9.6D_largeGrid\wind_2_seed6.bts""",-95.816,,,,,,,0.0,12.73479,0.14
