,condName,__name__,MooringFile,SeaStFile|WaveHs,SeaStFile|WaveTp,SeaStFile|WaveDir,SeaStFile|WaveSeed(1),InflowFile|PropagationDir,InflowFile|FileName_BTS,InflowFile|RotorApexOffsetPos,EDFile|NacYaw,EDFile|RotSpeed,EDFile|PtfmSurge,EDFile|BlPitch(1),EDFile|BlPitch(2),EDFile|BlPitch(3),ServoFile|PCMode,HydroFile|DiffQTF,windSpeed,windShear
39,40,Run_P200_C142_L1430_clump40_40_S1,"""Moordyn_P200_C142_L1430_clump40_40.dat""",3.47794,12.8472,27.598,-714078133,-116.645,"""W:\TurbSim\workspace\15MW_fat_turbsimFiles\turbsim_default\wind_40_seed1.bts""",0 0 0,116.645,,,,,,,0.0,6.87248,0.14
40,41,Run_P200_C142_L1430_clump40_41_S1,"""Moordyn_P200_C142_L1430_clump40_41.dat""",1.94461,8.7932,60.826,-1657728836,-140.645,"""W:\TurbSim\workspace\15MW_fat_turbsimFiles\turbsim_default\wind_41_seed1.bts""",0 0 0,140.645,,,,,,,0.0,13.7583,0.14
41,42,Run_P200_C142_L1430_clump40_42_S1,"""Moordyn_P200_C142_L1430_clump40_42.dat""",3.87168,14.4426,29.473,108590563,-150.746,"""W:\TurbSim\workspace\15MW_fat_turbsimFiles\turbsim_default\wind_42_seed1.bts""",0 0 0,150.746,,,,,,,0.0,4.74282,0.14
42,43,Run_P200_C142_L1430_clump40_43_S1,"""Moordyn_P200_C142_L1430_clump40_43.dat""",2.87648,16.0594,2.868,-1249209803,38.167,"""W:\TurbSim\workspace\15MW_fat_turbsimFiles\turbsim_default\wind_43_seed1.bts""",0 0 0,-38.167,,,,,,,0.0,10.5584,0.14
43,44,Run_P200_C142_L1430_clump40_44_S1,"""Moordyn_P200_C142_L1430_clump40_44.dat""",1.43016,9.82498,68.218,1874395851,38.641,"""W:\TurbSim\workspace\15MW_fat_turbsimFiles\turbsim_default\wind_44_seed1.bts""",0 0 0,-38.641,,,,,,,0.0,5.91599,0.14
44,45,Run_P200_C142_L1430_clump40_45_S1,"""Moordyn_P200_C142_L1430_clump40_45.dat""",4.36435,16.3092,34.552,915725862,-139.136,"""W:\TurbSim\workspace\15MW_fat_turbsimFiles\turbsim_default\wind_45_seed1.bts""",0 0 0,139.136,,,,,,,0.0,13.6079,0.14
45,46,Run_P200_C142_L1430_clump40_46_S1,"""Moordyn_P200_C142_L1430_clump40_46.dat""",3.97669,14.1594,24.86,193650807,-2.829,"""W:\TurbSim\workspace\15MW_fat_turbsimFiles\turbsim_default\wind_46_seed1.bts""",0 0 0,2.829,,,,,,,0.0,4.38347,0.14
46,47,Run_P200_C142_L1430_clump40_47_S1,"""Moordyn_P200_C142_L1430_clump40_47.dat""",1.08005,15.4185,107.781,862576898,34.657,"""W:\TurbSim\workspace\15MW_fat_turbsimFiles\turbsim_default\wind_47_seed1.bts""",0 0 0,-34.657,,,,,,,0.0,7.51364,0.14
47,48,Run_P200_C142_L1430_clump40_48_S1,"""Moordyn_P200_C142_L1430_clump40_48.dat""",2.84424,11.5617,1.391,-1455448224,-62.448,"""W:\TurbSim\workspace\15MW_fat_turbsimFiles\turbsim_default\wind_48_seed1.bts""",0 0 0,62.448,,,,,,,0.0,6.34366,0.14
48,49,Run_P200_C142_L1430_clump40_49_S1,"""Moordyn_P200_C142_L1430_clump40_49.dat""",1.66869,9.42312,2.546,1283138049,165.135,"""W:\TurbSim\workspace\15MW_fat_turbsimFiles\turbsim_default\wind_49_seed1.bts""",0 0 0,-165.135,,,,,,,0.0,3.1665,0.14
